Comments,Reviews,Platform ,,
,,,,
AI is geting scaryâ€¦ canâ€™t trust anything anymore,Negative,Youtube ,,
This dude is super unlikeable,Negative,Youtube ,,
Sick sick sick! ðŸ˜¡,Negative,Instagram,,Negative
"ðŸ˜‘Such an average movie, not worth the hype at all",Negative,Youtube ,,Neutral
Nonsense...Absolutely not true.,Negative,Instagram,,Positive
Their website is so confusing and poorly designed,Negative,Instagram,,
What a waste of time and energyðŸ˜’,Negative,Youtube ,,
"No, you are destroying the metal !!!",Negative,Instagram,,
The quality of this product is subpar.,Negative,Youtube,,
Not worth it....,Negative,Instagram,,
Ambience is not at all nice. Wouldn't recommend.,Negative,Twitter,,
The food at this restaurant was disappointing. Not worth the price.,Negative,Instagram,,
The hotel staff were rude and unprofessional. Terrible customer service,Negative,Twitter,,
"Trust me my relatives would hate it, including me ðŸ˜…",Negative,Youtube,,
I'm disappointed with the ending of this TV show. It left too many unanswered questions.,Negative,Youtube,,
The product I ordered arrived damaged. Very disappointed with the packaging.,Negative,Instagram,,
I had a frustrating experience with their technical support. No resolution provided.,Negative,Twitter,,
I'm extremely disappointed with their product quality.,Negative,Instagram,,
Traffic was terrible this morning.,Negative,Twitter,,
Political discussions heating up on the timeline.,Negative,Twitter,,
Feeling a bit under the weather today.,Negative,Twitter,,
Winter blues got me feeling low.,Negative,Instagram,,
Had a bad day at school. Everything seems to be going wrong.,Negative,Facebook,,
Received a not-so-great grade on a major project. Academic frustration setting in.,Negative,Facebook,,
Caught in a torrential rainstorm without an umbrella. Today's weather is just bad luck.,Negative,Twitter,,
Got a flat tire on the way to an important meeting. Talk about a series of bad events!,Negative,Twitter,,
Having a bad hair day and feeling self-conscious. Bad hair days can affect confidence.,Negative,Instagram,,
Having a string of bad luck with constant technology malfunctions. Tech troubles galore!,Negative,Instagram,,
The state of the world's environment is just disgusting.,Negative,Twitter,,
The state of corruption in our society is utterly disgusting.,Negative,Twitter,,
Disgust at the sight of injustice and cruelty.,Negative,Twitter,,
Disgust at the corruption that stains society.,Negative,Instagram,,
"Entered the kitchen with the intention to cook. Left with a bag of chips. Cooking is overrated, anyway. #MasterChefInTraining #TeenHumor ",Negative,Instagram,,
Encountered some mean-spirited comments online. Dealing with online hate is never easy.,Negative,Instagram,,
Witnessed a heated argument in the cafeteria. Unpleasant atmosphere at lunch.,Negative,Instagram,,
Experiencing cyberbullying. Hateful messages online are disheartening.,Negative,Facebook,,
Dealing with unfounded rumors circulating about personal life. Rumors can be hurtful.,Negative,Facebook,,
Encountering online toxicity during a gaming session. Hateful comments can ruin the fun.,Negative,Twitter,,
Experiencing hate comments for expressing personal opinions. Online negativity prevails.,Negative,Twitter,,
This new policy is just going to make things harder for everyone.,Negative,Twitter,,
The app keeps crashing after the latest update. it's unusable.,Negative,Twitter,,
I'm not sure i agree with the premise of this article.,Negative,Facebook,,
My internet has been down all day. how am i supposed to work?,Negative,Twitter,,
This political debate is going nowhere. just people yelling at each other.,Negative,Twitter,,
The season finale was a huge letdown. #tvshows,Negative,Twitter,,
Another data breach... can these companies ever keep our info safe?,Negative,Twitter,,
I disagree with the points made in this video.,Negative,Facebook,,
Can't believe they cancelled my favorite show.,Negative,Twitter,,
The traffic on the outer ring road is terrible this evening.,Negative,Twitter,,
Is anyone else experiencing issues with the app login?,Negative,Twitter,,
This article is full of misinformation.,Negative,Facebook,,
I'm so tired of all these political ads.,Negative,Twitter,,
This new feature is completely useless.,Negative,Twitter,,
This influencer's 'apology' video seems so fake.,Negative,Instagram,,
My phone battery dies way too fast.,Negative,Twitter,,
This seems overly complicated for no reason.,Negative,Instagram,,
I think the old logo was better.,Negative,Instagram,,
Sad to hear about the restaurant closing down. they had the best food.,Negative,Facebook,,
"My online order arrived,but it's the wrong item. so frustrating",Negative,Twitter,,
The plot of that movie made no sense.,Negative,Facebook,,
The filter you used makes the colors look strange.,Negative,Instagram,,
The constant construction noise is driving me crazy.,Negative,Facebook,,
This is a terrible take. you've completely missed the point.,Negative,Twitter,,
I'm so over this heatwave.,Negative,Twitter,,
The product arrived damaged.,Negative,Instagram,,
Is it just me or is the platform really slow today?,Negative,Twitter,,
This sponsored post is not relevant to my interests.,Negative,Instagram,,
I'm not really a fan of this art style.,Negative,Instagram,,
This is an irresponsible thing to post.,Negative,Facebook,,
My computer just crashed and i lost all my work. #badday,Negative,Twitter,,
The webinar link is not working.,Negative,Twitter,,
This thread is full of bots.,Negative,Twitter,,
I waited in line for an hour for nothing.,Negative,Facebook,,
I find this type of content very boring.,Negative,Instagram,,
The comments on this post are a dumpster fire.,Negative,Instagram,,
The audio is out of sync with the video.,Negative,Twitter,,
I'm disappointed by the lack of professionalism.,Negative,Facebook,,
I don't understand the hype around this product.,Negative,Twitter,,
Why is shipping so expensive?,Negative,Twitter,,
That was a really poor performance by the team.,Negative,Twitter,,
The editing on this video is very choppy.,Negative,Instagram,,
The packaging was excessive and wasteful.,Negative,Instagram,,
That's a very dangerous thing to do.,Negative,Facebook,,
This discussion is no longer productive.,Negative,Twitter,,
This clickbait headline is so annoying.,Negative,Twitter,,
The battery life on this phone is terrible.,Negative,Twitter,,
I'm so frustrated with this company's policies.,Negative,Facebook,,
That was a very unprofessional comment to make.,Negative,Twitter,,
The music is too loud in this video.,Negative,Instagram,,
This product did not work as advertised.,Negative,Instagram,,
Heard back from the job application. it's a no.,Negative,Facebook,,
I completely disagree with this take.,Negative,Facebook,,
The quality of this stream is very low.,Negative,Twitter,,
The video has no sound.,Negative,Instagram,,
The movie was predictable from the start.,Negative,Instagram,,
Stop spreading rumors.,Negative,Twitter,,
This is a terrible design flaw.,Negative,Instagram,,
The server is lagging badly tonight.,Negative,Twitter,,
My order was cancelled without any notification.,Negative,Facebook,,
Another pointless meeting that could have been an email.,Negative,Twitter,,
I'm having trouble with the checkout page.,Negative,Facebook,,
The ending of that book was so disappointing.,Negative,Facebook,,
The special effects in this movie look cheap.,Negative,Twitter,,
The link you shared is broken.,Negative,Twitter,,
This recipe needs more seasoning.,Negative,Instagram,,
The speaker is mumbling  i can't understand them.,Negative,Twitter,,
The algorithm keeps recommending me things i don't like.,Negative,Twitter,,
I'm not a fan of this author's writing style.,Negative,Facebook,,
The new update removed my favorite feature.,Negative,Twitter,,
The instructions are unclear.,Negative,Facebook,,
This is not what i ordered.,Negative,Facebook,,
The event was poorly organized.,Negative,Facebook,,
This coffee is cold.,Negative,Instagram,,
The audio quality is terrible.,Negative,Twitter,,
I am unsubscribing. this content has gone downhill.,Negative,Twitter,,
This is the third time my delivery has been late.,Negative,Twitter,,
That's not how it works.,Negative,Twitter,,
The user interface is not intuitive.,Negative,Instagram,,
The product feels very cheap and flimsy.,Negative,Facebook,,
This take is just factually incorrect.,Negative,Twitter,,
I'm very disappointed with the customer support i received.,Negative,Twitter,,
This is a terrible idea.,Negative,Twitter,,
The event has been cancelled.,Negative,Facebook,,
The colors in this photo are a bit oversaturated.,Negative,Instagram,,
This is a major security vulnerability.,Negative,Twitter,,
I'm so bored of seeing the same content over and over.,Negative,Instagram,,
The price is too high for what you get.,Negative,Twitter,,
The video is buffering constantly.,Negative,Instagram,,
This comment section is toxic.,Negative,Instagram,,
This is a very inefficient process.,Negative,Facebook,,
The book arrived with a torn cover.,Negative,Twitter,,
The new software is not compatible with my old system.,Negative,Facebook,,
The microphone is picking up a lot of background noise.,Negative,Twitter,,
What a waste of time.,Negative,Twitter,,
This design is not very user-friendly.,Negative,Instagram,,
The character development in this series is terrible.,Negative,Twitter,,
The article is behind a paywall.,Negative,Facebook,,
This seems like a scam.,Negative,Twitter,,
The audio and video are not synchronized.,Negative,Twitter,,
This is a fake account.,Negative,Twitter,,
This is a very disappointing outcome.,Negative,Twitter,,
The form is not submitting.,Negative,Facebook,,
This is spam.,Negative,Twitter,,
The image is pixelated.,Negative,Instagram,,
This is an unacceptable level of service.,Negative,Twitter,,
This is a very poorly written article.,Negative,Facebook,,
The item is out of stock.,Negative,Facebook,,
I am not interested.,Negative,Facebook,,
This is not the solution to the problem.,Negative,Facebook,,
The food was cold.,Negative,Facebook,,
This feature is buggy.,Negative,Twitter,,
The product looks different from the picture online.,Negative,Instagram,,
I'm so tired of this argument.,Negative,Facebook,,
I am very disappointed.,Negative,Facebook,,
The new ceo is a terrible choice.,Negative,Twitter,,
The potholes on this road are getting ridiculous. someone needs to fix this.,Negative,Facebook,,
The power cut has been going on for over three hours now in the Manikonda area.,Negative,Twitter,,
This company's customer service is a complete joke.,Negative,Twitter,,
I don't think this political cartoon is very funny.,Negative,Facebook,,
That was a very disappointing performance from the team.,Negative,Facebook,,
I'm very concerned about the environmental impact of this project.,Negative,Facebook,,
My internet package was supposed to be upgraded today  but the speed is still the same.,Negative,Twitter,,
This so-called 'hot take' is just a recycled opinion from last year.,Negative,Twitter,,
Why are concert tickets so outrageously expensive now?,Negative,Twitter,,
The audio in this reel is slightly ahead of the video.,Negative,Instagram,,
This 'life hack' seems like more work than the original way.,Negative,Instagram,,
My flight got cancelled at the last minute. stuck at the airport.,Negative,Twitter,,
The new font in the app update is hard to read.,Negative,Instagram,,
The amount of plastic packaging in this delivery is shocking.,Negative,Instagram,,
The main character in this show is so poorly written.,Negative,Twitter,,
This is a very shallow analysis of a complex topic.,Negative,Twitter,,
This filter makes everyone look the same.,Negative,Instagram,,
I'm tired of seeing these get-rich-quick scheme ads.,Negative,Facebook,,
This thread is a masterclass in misinformation.,Negative,Twitter,,
The constant spam calls are driving me insane.,Negative,Twitter,,
I disagree with the author's conclusion.,Negative,Facebook,,
The video stopped playing halfway through.,Negative,Instagram,,
The biryani at Paradise is not what it used to be.,Negative,Facebook,,
The qr code is not scanning.,Negative,Twitter,,
This outfit doesn't seem appropriate for the occasion.,Negative,Instagram,,
The subtitles are full of errors.,Negative,Twitter,,
I'm not interested in this product.,Negative,Instagram,,
The delivery person left the package at the wrong address.,Negative,Twitter,,
This meme is not funny at all.,Negative,Twitter,,
I am very disappointed with the quality of this product.,Negative,Facebook,,
This political ad is incredibly misleading.,Negative,Facebook,,
I keep getting notifications for things i don't care about.,Negative,Twitter,,
The checkout process on this website is too complicated.,Negative,Twitter,,
I think the previous version of the app was better.,Negative,Instagram,,
The audio quality of this podcast episode is poor.,Negative,Twitter,,
This article is just clickbait with no real substance.,Negative,Facebook,,
I need to reset my password  but i'm not getting the email.,Negative,Twitter,,
The colors in this reel are too saturated.,Negative,Instagram,,
This is a really bad financial advice.,Negative,Facebook,,
The app is not compatible with my device.,Negative,Twitter,,
The new tax policy seems overly complicated.,Negative,Twitter,,
I completely disagree with the verdict.,Negative,Twitter,,
I'm not a fan of this particular fashion trend.,Negative,Instagram,,
The constant notifications from this app are annoying.,Negative,Facebook,,
The video is too shaky.,Negative,Instagram,,
This so-called 'debate' is just two people shouting.,Negative,Twitter,,
I have already unsubscribed from this mailing list multiple times.,Negative,Facebook,,
The product I received looks nothing like the advertisement.,Negative,Instagram,,
The road work near the university is causing major traffic jams.,Negative,Twitter,,
This is a very generic and uninspired design.,Negative,Instagram,,
The subtitles are not synced correctly with the audio.,Negative,Instagram,,
The website keeps logging me out automatically.,Negative,Twitter,,
This is an irresponsible and dangerous 'challenge'.,Negative,Twitter,,
The new OS update has made my phone slower.,Negative,Twitter,,
The celebrity's statement on this issue is very disappointing.,Negative,Twitter,,
This is a very biased and one-sided documentary.,Negative,Twitter,,
The offer has expired.,Negative,Facebook,,
The amount of ads on this platform is getting out of hand.,Negative,Twitter,,
I find this type of humor to be quite offensive.,Negative,Instagram,,
The instructions for assembly are very confusing.,Negative,Facebook,,
This is a very shallow and materialistic post.,Negative,Instagram,,
The app is asking for too many unnecessary permissions.,Negative,Twitter,,
I am very disappointed by the lack of communication from the company.,Negative,Facebook,,
The WiFi at this cafe is very slow.,Negative,Twitter,,
The editing in this photo seems a bit unnatural.,Negative,Instagram,,
The movie's ending felt very rushed and unsatisfying.,Negative,Twitter,,
This is a very misleading headline.,Negative,Facebook,,
I'm very concerned about the privacy implications of this new feature.,Negative,Twitter,,
The company's response to the criticism is inadequate.,Negative,Twitter,,
I don't like the new user interface.,Negative,Instagram,,
The video quality is capped at 480p.,Negative,Instagram,,
This is a very dangerous precedent to set.,Negative,Twitter,,
This celebrity endorsement feels very inauthentic.,Negative,Instagram,,
The product is much smaller in person than it looks in the photos.,Negative,Facebook,,
I'm still waiting for a response to my support ticket from last week.,Negative,Twitter,,
This 'inspirational' quote is actually very toxic.,Negative,Instagram,,
The plot of this show has become very predictable.,Negative,Twitter,,
This is a very unprofessional way to handle customer complaints.,Negative,Facebook,,
I'm very disappointed with the election results.,Negative,Facebook,,
The company's stock dropped by 5% today.,Negative,Twitter,,
This type of content is not appropriate for this platform.,Negative,Instagram,,
The video is just a black screen for me.,Negative,Instagram,,
This is a very weak and unsubstantiated argument.,Negative,Twitter,,
This influencer is promoting a very harmful product.,Negative,Instagram,,
I am not happy with the service I received.,Negative,Facebook,,
The new update has introduced more bugs than it fixed.,Negative,Twitter,,
This 'apology' does not seem sincere at all.,Negative,Facebook,,
The website is not mobile-friendly.,Negative,Twitter,,
I completely disagree with this political ideology.,Negative,Twitter,,
This is a very irresponsible use of a public platform.,Negative,Twitter,,
The support helpline is always busy.,Negative,Facebook,,
The audio is clipping in this recording.,Negative,Instagram,,
This is a very shallow and self-absorbed post.,Negative,Instagram,,
I received a damaged item and the seller is not responding.,Negative,Facebook,,
I'm not interested in joining your multi-level marketing scheme.,Negative,Facebook,,
This company is greenwashing their products.,Negative,Facebook,,
The app is not working after the latest android update.,Negative,Twitter,,
I find this content to be very unoriginal.,Negative,Instagram,,
The video has been taken down due to a copyright claim.,Negative,Instagram,,
I am very concerned about the rising inflation.,Negative,Twitter,,
This is a very biased and unfair comparison.,Negative,Twitter,,
I am very disappointed with the way this situation was handled.,Negative,Twitter,,
This is a very dangerous and misleading 'health' tip.,Negative,Twitter,,
The product does not match the description on the website.,Negative,Instagram,,
The app is constantly asking for reviews.,Negative,Instagram,,
This is a very selfish and inconsiderate action.,Negative,Facebook,,
The support chat is just a bot that isn't helpful.,Negative,Twitter,,
This is a very poor excuse for an apology.,Negative,Facebook,,
This is a very harmful stereotype.,Negative,Twitter,,
I keep getting emails that are meant for someone else with a similar name.,Negative,Facebook,,
The video is too long and could have been edited down.,Negative,Instagram,,
I'm still waiting for my refund to be processed.,Negative,Twitter,,
This company has a terrible reputation for a reason.,Negative,Facebook,,
This is a very irresponsible statement from a public figure.,Negative,Twitter,,
I am very disappointed with the final product.,Negative,Facebook,,
The audio and video are not in sync.,Negative,Instagram,,
I am not a fan of this author.,Negative,Twitter,,
This product is not worth the high price tag.,Negative,Facebook,,
This is a very weak and poorly constructed argument.,Negative,Twitter,,
I am very unhappy with the recent changes to the platform.,Negative,Facebook,,
I'm very concerned about this new proposed law.,Negative,Twitter,,
This new AI update seems to have a lot of ethical concerns.,Negative,Twitter,,
My laptop's fan has been making a weird noise all day.,Negative,Twitter,,
This political commentary is incredibly biased and lacks any nuance.,Negative,Twitter,,
The traffic heading towards HITEC City is still bad  even at this hour.,Negative,Facebook,,
This company's privacy policy is a nightmare to read and understand.,Negative,Twitter,,
Another pointless software update that changed the UI for no reason.,Negative,Twitter,,
I completely disagree with the referee's decision in that match.,Negative,Twitter,,
The final episode of that show was a massive disappointment.,Negative,Facebook,,
My food delivery order is over 30 minutes late.,Negative,Twitter,,
This hot take is not as original as you think it is.,Negative,Twitter,,
The server for this game has been down for hours. #gaming,Negative,Twitter,,
I'm so tired of these endless political arguments online.,Negative,Facebook,,
This movie trailer gave away the entire plot.,Negative,Twitter,,
I am very concerned about the rising air pollution in the city.,Negative,Facebook,,
The local candidate's speech was full of empty promises.,Negative,Facebook,,
This bug in the new update is making the app unusable for me.,Negative,Twitter,,
I strongly disagree with the opinions expressed in this shared article.,Negative,Facebook,,
The constant buffering is making this video unwatchable.,Negative,Twitter,,
This brand's lack of transparency is very concerning.,Negative,Twitter,,
The referee was clearly biased throughout the entire match.,Negative,Twitter,,
The noise from the construction next door is unbearable.,Negative,Facebook,,
This company is notorious for its poor after-sales service.,Negative,Twitter,,
This is a very shallow and meaningless internet trend.,Negative,Twitter,,
I am very disappointed by the local authorities' inaction on this issue.,Negative,Facebook,,
I think my account has been hacked.,Negative,Facebook,,
This company's ethics are highly questionable.,Negative,Twitter,,
This is a very weak and unconvincing argument.,Negative,Twitter,,
I am very unhappy with the quality of the food I received.,Negative,Facebook,,
I am not interested in your political propaganda.,Negative,Twitter,,
I am very concerned about the spread of misinformation on this platform.,Negative,Facebook,,
The public Wi-Fi at the station is not working.,Negative,Facebook,,
I am very disappointed with the lack of response from customer care.,Negative,Facebook,,
This is a very dangerous and irresponsible 'prank' video.,Negative,Twitter,,
This so-called 'investigative report' is full of holes.,Negative,Twitter,,
I am very unhappy with the service provided by this airline.,Negative,Facebook,,
This brand's marketing is very deceptive.,Negative,Twitter,,
This is a very poorly researched article.,Negative,Twitter,,
The cancellation policy of this hotel is very unfair.,Negative,Facebook,,
The audio is very low in this video  I can barely hear it.,Negative,Instagram,,
This is a very shallow and attention-seeking post.,Negative,Twitter,,
This company's treatment of its employees is appalling.,Negative,Twitter,,
This is a very weak and uninspired sequel to a great movie.,Negative,Twitter,,
The new update has made the user interface very cluttered.,Negative,Twitter,,
This is a very biased and unfair moderation decision.,Negative,Twitter,,
I am very disappointed with the poor quality of the materials used in this product.,Negative,Facebook,,
The plot twist in that movie was completely unnecessary and ruined it.,Negative,Instagram,,
I'm not interested in your unsolicited advice.,Negative,Facebook,,
The company's statement does not address the core issue at all.,Negative,Facebook,,
Our flight is delayed by two hours due to bad weather.,Negative,Twitter,,
This is a very irresponsible and harmful diet trend.,Negative,Instagram,,
The product I received is a cheap knockoff of the original.,Negative,Facebook,,
The constant pop-up ads on this site are making it unusable.,Negative,Facebook,,
This is a very shallow and insincere apology.,Negative,Twitter,,
I am very unhappy with the hidden charges on my bill.,Negative,Facebook,,
This influencer is spreading dangerous misinformation.,Negative,Twitter,,
This is a very poorly constructed argument with no factual basis.,Negative,Twitter,,
I am very disappointed with the lack of parking facilities at the venue.,Negative,Facebook,,
The sound mixing in this song is not very good.,Negative,Instagram,,
This is a very shallow and materialistic view of success.,Negative,Instagram,,
The customer service representative was very rude and unhelpful.,Negative,Facebook,,
This brand is constantly spamming me with promotional emails.,Negative,Twitter,,
This is a very irresponsible and dangerous piece of advice.,Negative,Twitter,,
I am very disappointed that the event was cancelled at the last moment.,Negative,Facebook,,
The resolution of this image is too low for a print.,Negative,Instagram,,
This is a very selfish and inconsiderate parking job.,Negative,Twitter,,
This company is exploiting its workers.,Negative,Twitter,,
I am very unhappy with the misleading advertisement for this product.,Negative,Facebook,,
This 'news' source is known for spreading fake news.,Negative,Twitter,,
This is a very poorly written and error-filled article.,Negative,Twitter,,
I am very disappointed by the rude behavior of the staff.,Negative,Facebook,,
The background of this video call is very unprofessional.,Negative,Instagram,,
This is a very dangerous and reckless driving video.,Negative,Twitter,,
The product is not compatible with my existing devices.,Negative,Facebook,,
The audio in this interview has a lot of echo.,Negative,Instagram,,
This is a very shallow and superficial understanding of the topic.,Negative,Instagram,,
The delivery has been delayed with no explanation.,Negative,Facebook,,
The color correction in this video seems a bit off.,Negative,Instagram,,
This is a very irresponsible and harmful social media challenge.,Negative,Twitter,,
I am very disappointed with the false promises made by the company.,Negative,Facebook,,
This brand's products are tested on animals  which is unacceptable.,Negative,Twitter,,
This is a very poorly moderated online group.,Negative,Twitter,,
I am very unhappy with the poor network coverage in my area.,Negative,Facebook,,
This 'financial guru' is giving very risky and dangerous advice.,Negative,Twitter,,
This is a very weak and unconvincing excuse.,Negative,Twitter,,
I am very disappointed with the last-minute change in the event schedule.,Negative,Facebook,,
The video is too zoomed in on the subject's face.,Negative,Instagram,,
This is a very selfish and inconsiderate use of public space.,Negative,Twitter,,
The product failed to work after just one week of use.,Negative,Facebook,,
The company has issued a recall for the faulty product.,Negative,Twitter,,
This company is known for its unethical business practices.,Negative,Twitter,,
This is a very poorly researched and biased documentary.,Negative,Twitter,,
I am very unhappy with the constant spam notifications from this app.,Negative,Facebook,,
The background in this photo is too busy and distracting.,Negative,Instagram,,
This is a very irresponsible and dangerous stunt.,Negative,Twitter,,
The product arrived with missing parts.,Negative,Facebook,,
The central bank has increased the interest rates.,Negative,Twitter,,
This company has a history of data breaches.,Negative,Twitter,,
This is a very poorly written and unedited article.,Negative,Twitter,,
I am very disappointed with the rude and unprofessional staff.,Negative,Facebook,,
This 'health product' is a complete scam.,Negative,Twitter,,
This is a very weak and illogical argument.,Negative,Twitter,,
I am very disappointed with the frequent service outages.,Negative,Facebook,,
This company is known for its false advertising.,Negative,Twitter,,
This is a very poorly designed user interface.,Negative,Twitter,,
I am very unhappy with the poor build quality of this device.,Negative,Facebook,,
This 'investment opportunity' is a Ponzi scheme.,Negative,Twitter,,
This is a very poorly executed marketing campaign.,Negative,Twitter,,
I am very disappointed with the lack of transparency from the management.,Negative,Facebook,,
This company is known for its terrible customer support.,Negative,Twitter,,
This is a very weak and baseless accusation.,Negative,Twitter,,
I am very disappointed with the constant delays in the project.,Negative,Facebook,,
This 'news' channel is just a propaganda machine.,Negative,Twitter,,
This is a very poorly written and confusing tutorial.,Negative,Twitter,,
I am very disappointed with the high shipping fees.,Negative,Facebook,,
This company is known for its anti-competitive practices.,Negative,Twitter,,
This is a very poorly researched and inaccurate article.,Negative,Twitter,,
I am very disappointed with the poor battery life of this phone.,Negative,Facebook,,
This 'influencer' is promoting an unhealthy body image.,Negative,Twitter,,
This is a very weak and poorly supported claim.,Negative,Twitter,,
I am very disappointed with the frequent app crashes.,Negative,Facebook,,
This company is known for its history of scams.,Negative,Twitter,,
This is a very poorly designed and confusing website.,Negative,Twitter,,
I am very disappointed with the lack of basic amenities in the hotel.,Negative,Facebook,,
This 'doctor' on social media is giving dangerous medical advice.,Negative,Twitter,,
This is a very weak and unconvincing alibi.,Negative,Twitter,,
I am very disappointed with the constant spam emails I receive from this company.,Negative,Facebook,,
This company is known for its exploitation of natural resources.,Negative,Twitter,,
This is a very poorly written and unengaging novel.,Negative,Twitter,,
I am very disappointed with the poor customer service I received today.,Negative,Facebook,,
This 'news' article is completely fabricated.,Negative,Twitter,,
This is a very weak and unsubstantiated rumor.,Negative,Twitter,,
I am very disappointed with the misleading product description.,Negative,Facebook,,
This company is known for its deceptive marketing tactics.,Negative,Twitter,,
This is a very poorly directed and acted movie.,Negative,Twitter,,
I am very disappointed with the lack of communication regarding my order status.,Negative,Facebook,,
This 'financial expert' is just trying to sell you their course.,Negative,Twitter,,
This is a very weak and flawed argument.,Negative,Twitter,,
I am very disappointed with the poor quality of the online course material.,Negative,Facebook,,
This company is known for its toxic work culture.,Negative,Twitter,,
This is a very poorly organized and chaotic event.,Negative,Twitter,,
The event was okay  but not as good as last year.,Neutral,Instagram,,
Super creepy,Neutral,Instagram,,
This song always puts me in a nostalgic mood. It reminds me of good times,Neutral,Spotify,,
